participant_id	sentence	wpm_sent
506874	Can you try this again?	22.4957209226506
506874	Couldn't risk the uncertainty.	25.2136153522902
506874	He said he would resist all the pressure of time deadlines.	38.0277151144054
506874	I will bring the pillow back tomorrow and get with you then.	32.5850832729906
506874	I will if I want to.	36.7140890316659
506874	Maybe you can leave early.	35.2861343587424
506874	No employment claims for gas or power.	29.6103896103896
506874	Reports said Clinton feels the same way.	28.6669851887243
506874	She said it would probably be after Jan.	28.3084004602992
506874	Thanks for the quick turnaround.	29.2460015232292
506874	The amendment has little chance of becoming law.	32.4217026907808
506874	The planes had flown in from Dijoubti to Sanaa earlier Thursday.	24.2080378250591
506874	The senate would require them to create a US subsidiary.	24.8603455292072
506874	We are in the process of making a change.	45.3414431849599
506874	We shall try to find a common agenda.	34.5417768787926
506884	A parliamentary committee will collect the public's comments.	52.1701945691683
506884	Call me if you have any questions.	84.8585690515807
506884	Can we have them until we move?	66.3574741348555
506884	Give it some time.	66.1157024793389
506884	Have I mentioned how much I love Houston traffic?	61.4676980974284
506884	He was professor emeritus of human development and psychiatry.	66.1533076653833
506884	I left a message.	49.2813141683778
506884	I'll be up to nine or 10 by Saturday.	49.1259128125692
506884	Many earlier ceasefire accords have been broken.	55.0046772684752
506884	Michael has his holiday performance.	61.444782729034
506884	More jobs are to be eliminated this financial year.	70.2882738026875
506884	Referring to his meeting in Washington with US President Bill Clinton.	57.5209289765055
506884	Song was vice minister of the geology and mineral resources minister.	73.1197771587744
506884	The best-of-seven series moves to Indianapolis, Indiana.	34.9308659943861
506884	They appear to be coming out of Unify, but I cannot see them.	70.4345356432832
506889	An overwhelming majority do agree on the middle policy.	77.7934936350778
506889	Anything exciting going on today?	73.5649266208434
506889	Confirmed with Mark Taylor.	84.6394984326019
506889	Giants, but he didn't finish it.	87.2132636838519
506889	He is expected to participate in practice.	77.2887593927312
506889	However, he is expected to play in this week's game.	83.9838492597577
506889	Louis, posting five catches for 35 yards and two scores.	68.3830263559581
506889	Megan, we only bought this on KN for the 30th.	70.3543206729544
506889	Most contenders here use his Ford-Cosworth engines.	75.7332013364683
506889	The Portal User IDs and Passwords are created by you.	86.1205145565335
506889	The area has an Armenian population but falls within Azerbajian.	57.7096483318305
506889	The charges also cover his relations with advertising companies.	95.8322934863988
506889	There are some issues on which we agree.	73.3160226057736
506889	Theresa, I hope he liked it.	62.1761658031088
