sentNum	sentence	numChars	minStrokes	numActualWords	meanStrokesPerWord	meanWordLength	meanWordLengthPropSent	highFreqWordProp	highFreqWordCharProp	meanWordFreq	propWordsNonDictWords	propCharsNonDictWords	meanSyllsPerWord	biFreqMean	propBiTop15	charRepetitionProp	fingerRepetitionProp	handRepetitionProp	handAlternationProp	lowercaseProp	uppercaseProp	numbersProp	symbolsProp	spacesProp	lowercasePropNonSpace	uppercasePropNonSpace	numbersPropNonSpace	symbolsPropNonSpace	meanStrokesPerChar	propRightHand	aveDistFromHomeRow
1	1.5 million visitors will flood Atlanta each day of the Olympics.	65	67	11	6.09090909090909	5.90909090909091	0.0909090909090909	0.545454545454545	0.353846153846154	205632.272727273	0	0	1.63636363636364	3621405.74	0.14	0.0555555555555556	0.0925925925925926	0.351851851851852	0.5	0.753846153846154	0.0307692307692308	0.0307692307692308	0.0307692307692308	0.153846153846154	0.890909090909091	0.0363636363636364	0.0363636363636364	0.0363636363636364	1.03076923076923	0.545454545454545	1.44545454545455
2	2nd since so many people are out of the office until then.	58	58	12	4.83333333333333	4.83333333333333	0.0833333333333333	0.916666666666667	0.741379310344828	247003.333333333	0	0	1.33333333333333	5560049.25	0.272727272727273	0.0217391304347826	0.108695652173913	0.282608695652174	0.58695652173913	0.775862068965517	0	0.0172413793103448	0.0172413793103448	0.189655172413793	0.957446808510638	0	0.0212765957446809	0.0212765957446809	1	0.51063829787234	1.68085106382979
3	A Hungarian neuro surgeon said that medical supplies are low.	61	63	10	6.3	6.1	0.1	0.6	0.360655737704918	209054.1	0.1	0.0819672131147541	1.8	3580264.42	0.14	0.0392156862745098	0.0980392156862745	0.294117647058824	0.568627450980392	0.80327868852459	0.0327868852459016	0	0.0163934426229508	0.147540983606557	0.942307692307692	0.0384615384615385	0	0.0192307692307692	1.0327868852459	0.461538461538462	1.40384615384615
4	A bad thing has been turned into a good thing and.	50	51	11	4.63636363636364	4.54545454545455	0.0909090909090909	1	0.78	293815.272727273	0	0	1.09090909090909	5507545.86842105	0.263157894736842	0.0512820512820513	0.0256410256410256	0.384615384615385	0.538461538461538	0.76	0.02	0	0.02	0.2	0.95	0.025	0	0.025	1.02	0.425	1.625
5	A bad thing has been turned into a good thing.	46	47	10	4.7	4.6	0.1	1	0.782608695652174	254918.8	0	0	1.1	5333296	0.228571428571429	0.0555555555555556	0.0277777777777778	0.388888888888889	0.527777777777778	0.760869565217391	0.0217391304347826	0	0.0217391304347826	0.195652173913043	0.945945945945946	0.027027027027027	0	0.027027027027027	1.02173913043478	0.432432432432432	1.7027027027027
6	A bit behind on my emails.	26	27	6	4.5	4.33333333333333	0.166666666666667	0.833333333333333	0.538461538461538	293737.833333333	0	0	1.33333333333333	3365358.36842105	0.157894736842105	0	0.15	0.3	0.55	0.730769230769231	0.0384615384615385	0	0.0384615384615385	0.192307692307692	0.904761904761905	0.0476190476190476	0	0.0476190476190476	1.03846153846154	0.571428571428571	1.73809523809524
7	A definitive basic law will be drawn up within a year.	54	55	11	5	4.90909090909091	0.0909090909090909	0.818181818181818	0.518518518518518	245043.363636364	0	0	1.45454545454545	3637757.30952381	0.0952380952380952	0.0465116279069767	0.0697674418604651	0.441860465116279	0.441860465116279	0.777777777777778	0.0185185185185185	0	0.0185185185185185	0.185185185185185	0.954545454545455	0.0227272727272727	0	0.0227272727272727	1.01851851851852	0.409090909090909	1.52272727272727
8	A detailed organizational chart is attached.	44	45	6	7.5	7.33333333333333	0.166666666666667	0.333333333333333	0.0681818181818182	250361	0	0	2.16666666666667	4447615.10810811	0.243243243243243	0.0263157894736842	0.157894736842105	0.368421052631579	0.447368421052632	0.840909090909091	0.0227272727272727	0	0.0227272727272727	0.113636363636364	0.948717948717949	0.0256410256410256	0	0.0256410256410256	1.02272727272727	0.333333333333333	1.34615384615385
9	A gift isn't necessary.	23	24	4	6	5.75	0.25	0.5	0.260869565217391	362007.6	0	0	2	2777234.4375	0	0.0526315789473684	0.157894736842105	0.315789473684211	0.473684210526316	0.739130434782609	0.0434782608695652	0	0.0869565217391304	0.130434782608696	0.85	0.05	0	0.1	1.04347826086957	0.35	1.5
10	A growing number of US households are joining the middle class.	63	65	11	5.90909090909091	5.72727272727273	0.0909090909090909	0.818181818181818	0.571428571428571	319151.363636364	0	0	1.45454545454545	4259500.45098039	0.176470588235294	0.0384615384615385	0.115384615384615	0.365384615384615	0.480769230769231	0.777777777777778	0.0476190476190476	0	0.0158730158730159	0.158730158730159	0.924528301886792	0.0566037735849057	0	0.0188679245283019	1.03174603174603	0.490566037735849	1.43396226415094
