PARTICIPANT_ID	TEST_SECTION_ID	SENTENCE	USER_INPUT	KEYSTROKE_ID	PRESS_TIME	RELEASE_TIME	LETTER	KEYCODE
285148	3058154	Geez, I sound pathetic.	Geezx, I sound pathetic.	145259388	1475863168459	1475863168713	SHIFT	16
285148	3058154	Geez, I sound pathetic.	Geezx, I sound pathetic.	145259391	1475863168625	1475863168729	NA	71
285148	3058154	Geez, I sound pathetic.	Geezx, I sound pathetic.	145259397	1475863168803	1475863168921	NA	69
285148	3058154	Geez, I sound pathetic.	Geezx, I sound pathetic.	145259400	1475863168978	1475863169065	NA	69
285148	3058154	Geez, I sound pathetic.	Geezx, I sound pathetic.	145259405	1475863169217	1475863169305	NA	90
285148	3058154	Geez, I sound pathetic.	Geezx, I sound pathetic.	145259439	1475863169417	1475863169562	NA	188
285148	3058154	Geez, I sound pathetic.	Geezx, I sound pathetic.	145259442	1475863169497	1475863169581	NA	32
285148	3058154	Geez, I sound pathetic.	Geezx, I sound pathetic.	145259445	1475863170193	1475863170329	SHIFT	16
285148	3058154	Geez, I sound pathetic.	Geezx, I sound pathetic.	145259449	1475863170314	1475863170373	NA	73
285148	3058154	Geez, I sound pathetic.	Geezx, I sound pathetic.	145259451	1475863170385	1475863170462	NA	32
285148	3058154	Geez, I sound pathetic.	Geezx, I sound pathetic.	145259462	1475863170441	1475863170602	NA	83
285148	3058154	Geez, I sound pathetic.	Geezx, I sound pathetic.	145259463	1475863170706	1475863170769	NA	79
285148	3058154	Geez, I sound pathetic.	Geezx, I sound pathetic.	145259464	1475863170779	1475863170860	NA	85
285148	3058154	Geez, I sound pathetic.	Geezx, I sound pathetic.	145259465	1475863170953	1475863171033	NA	78
285148	3058154	Geez, I sound pathetic.	Geezx, I sound pathetic.	145259467	1475863171041	1475863171114	NA	68
285148	3058154	Geez, I sound pathetic.	Geezx, I sound pathetic.	145259482	1475863171241	1475863171337	NA	80
285148	3058154	Geez, I sound pathetic.	Geezx, I sound pathetic.	145259487	1475863171441	1475863171529	NA	65
285148	3058154	Geez, I sound pathetic.	Geezx, I sound pathetic.	145259492	1475863171521	1475863171609	NA	84
