PARTICIPANT_ID	TEST_SECTION_ID	SENTENCE	USER_INPUT	KEYSTROKE_ID	PRESS_TIME	RELEASE_TIME	LETTER	KEYCODE
454595	4895298	What happened to the guy with the paper to sign?	What happened to the guy with the paper to sign?	232388172	1478204915314	1478204915314	CAPS_LOCK	20
454595	4895298	What happened to the guy with the paper to sign?	What happened to the guy with the paper to sign?	232388175	1478204915315	1478204915317	NA	87
454595	4895298	What happened to the guy with the paper to sign?	What happened to the guy with the paper to sign?	232388178	1478204915317	1478204915318	CAPS_LOCK	20
454595	4895298	What happened to the guy with the paper to sign?	What happened to the guy with the paper to sign?	232388180	1478204915318	1478204915404	NA	72
454595	4895298	What happened to the guy with the paper to sign?	What happened to the guy with the paper to sign?	232388186	1478204915373	1478204915484	NA	65
454595	4895298	What happened to the guy with the paper to sign?	What happened to the guy with the paper to sign?	232388193	1478204915500	1478204915564	NA	84
454595	4895298	What happened to the guy with the paper to sign?	What happened to the guy with the paper to sign?	232388200	1478204915572	1478204915702	NA	32
454595	4895298	What happened to the guy with the paper to sign?	What happened to the guy with the paper to sign?	232388249	1478204916100	1478204916196	NA	72
454595	4895298	What happened to the guy with the paper to sign?	What happened to the guy with the paper to sign?	232388250	1478204916284	1478204916396	NA	65
454595	4895298	What happened to the guy with the paper to sign?	What happened to the guy with the paper to sign?	232388252	1478204916415	1478204916469	NA	80
454595	4895298	What happened to the guy with the paper to sign?	What happened to the guy with the paper to sign?	232388258	1478204916557	1478204916647	NA	80
454595	4895298	What happened to the guy with the paper to sign?	What happened to the guy with the paper to sign?	232388263	1478204916677	1478204916780	NA	69
454595	4895298	What happened to the guy with the paper to sign?	What happened to the guy with the paper to sign?	232388300	1478204916772	1478204916860	NA	78
454595	4895298	What happened to the guy with the paper to sign?	What happened to the guy with the paper to sign?	232388304	1478204916861	1478204917220	NA	69
454595	4895298	What happened to the guy with the paper to sign?	What happened to the guy with the paper to sign?	232388306	1478204917084	1478204917316	NA	68
454595	4895298	What happened to the guy with the paper to sign?	What happened to the guy with the paper to sign?	232388309	1478204917231	1478204917416	NA	32
454595	4895298	What happened to the guy with the paper to sign?	What happened to the guy with the paper to sign?	232388312	1478204917454	1478204917548	NA	84
454595	4895298	What happened to the guy with the paper to sign?	What happened to the guy with the paper to sign?	232388505	1478204917540	1478204917844	NA	79
454595	4895298	What happened to the guy with the paper to sign?	What happened to the guy with the paper to sign?	232388510	1478204917845	1478204917845	NA	32
454595	4895298	What happened to the guy with the paper to sign?	What happened to the guy with the paper to sign?	232388517	1478204917948	1478204918044	NA	84
454595	4895298	What happened to the guy with the paper to sign?	What happened to the guy with the paper to sign?	232388526	1478204918068	1478204918180	NA	72
