PARTICIPANT_ID	TEST_SECTION_ID	SENTENCE	USER_INPUT	KEYSTROKE_ID	PRESS_TIME	RELEASE_TIME	LETTER	KEYCODE
442468	4764866	The conditions were pretty tough.	The conditions were pretty though.	226230335	1478079261746	1478079263122	SHIFT	16
442468	4764866	The conditions were pretty tough.	The conditions were pretty though.	226230336	1478079262987	1478079263122	NA	84
442468	4764866	The conditions were pretty tough.	The conditions were pretty though.	226230337	1478079263147	1478079263274	NA	72
442468	4764866	The conditions were pretty tough.	The conditions were pretty though.	226230338	1478079263659	1478079263770	NA	87
442468	4764866	The conditions were pretty tough.	The conditions were pretty though.	226230339	1478079263786	1478079263932	NA	32
442468	4764866	The conditions were pretty tough.	The conditions were pretty though.	226230340	1478079264763	1478079264858		8
442468	4764866	The conditions were pretty tough.	The conditions were pretty though.	226230884	1478079277837	1478079279042	SHIFT	16
442468	4764866	The conditions were pretty tough.	The conditions were pretty though.	226230886	1478079278938	1478079279098	NA	84
442468	4764866	The conditions were pretty tough.	The conditions were pretty though.	226230889	1478079279163	1478079279338	NA	72
442468	4764866	The conditions were pretty tough.	The conditions were pretty though.	226230893	1478079279534	1478079279672	NA	69
442468	4764866	The conditions were pretty tough.	The conditions were pretty though.	226230897	1478079279672	1478079279795	NA	32
442468	4764866	The conditions were pretty tough.	The conditions were pretty though.	226230901	1478079281162	1478079281306	NA	67
442468	4764866	The conditions were pretty tough.	The conditions were pretty though.	226230959	1478079281626	1478079281786	NA	79
442468	4764866	The conditions were pretty tough.	The conditions were pretty though.	226230962	1478079281787	1478079281962	NA	78
442468	4764866	The conditions were pretty tough.	The conditions were pretty though.	226230965	1478079282602	1478079282736	NA	68
442468	4764866	The conditions were pretty tough.	The conditions were pretty though.	226230968	1478079282737	1478079282798	NA	73
442468	4764866	The conditions were pretty tough.	The conditions were pretty though.	226230971	1478079283086	1478079283186	NA	84
442468	4764866	The conditions were pretty tough.	The conditions were pretty though.	226231055	1478079283146	1478079283266	NA	73
442468	4764866	The conditions were pretty tough.	The conditions were pretty though.	226231058	1478079283226	1478079283410	NA	79
442468	4764866	The conditions were pretty tough.	The conditions were pretty though.	226231060	1478079283435	1478079283548	NA	78
442468	4764866	The conditions were pretty tough.	The conditions were pretty though.	226231063	1478079283739	1478079283928	NA	83
442468	4764866	The conditions were pretty tough.	The conditions were pretty though.	226231066	1478079284283	1478079284394	NA	32
442468	4764866	The conditions were pretty tough.	The conditions were pretty though.	226231068	1478079285051	1478079285194	NA	87
442468	4764866	The conditions were pretty tough.	The conditions were pretty though.	226231159	1478079285210	1478079285386	NA	69
442468	4764866	The conditions were pretty tough.	The conditions were pretty though.	226231160	1478079285610	1478079285726	NA	82
442468	4764866	The conditions were pretty tough.	The conditions were pretty though.	226231161	1478079285715	1478079285916	NA	69
442468	4764866	The conditions were pretty tough.	The conditions were pretty though.	226231162	1478079286202	1478079286314	NA	32
442468	4764866	The conditions were pretty tough.	The conditions were pretty though.	226231163	1478079287658	1478079287802	NA	80
442468	4764866	The conditions were pretty tough.	The conditions were pretty though.	226231187	1478079287850	1478079287962	NA	82
