PARTICIPANT_ID	TEST_SECTION_ID	SENTENCE	USER_INPUT	KEYSTROKE_ID	PRESS_TIME	RELEASE_TIME	LETTER	KEYCODE
403221	4353244	He remains a good Fantasy backup when healthy.	He remains a good fantasy backup when healthy.	206777267	1477518548768	1477518548928	SHIFT	16
403221	4353244	He remains a good Fantasy backup when healthy.	He remains a good fantasy backup when healthy.	206777269	1477518548872	1477518548968	NA	72
403221	4353244	He remains a good Fantasy backup when healthy.	He remains a good fantasy backup when healthy.	206777272	1477518549088	1477518549240	NA	69
403221	4353244	He remains a good Fantasy backup when healthy.	He remains a good fantasy backup when healthy.	206777274	1477518549224	1477518549336	NA	32
403221	4353244	He remains a good Fantasy backup when healthy.	He remains a good fantasy backup when healthy.	206777279	1477518549880	1477518549976	NA	82
403221	4353244	He remains a good Fantasy backup when healthy.	He remains a good fantasy backup when healthy.	206777283	1477518550192	1477518550280	NA	77
403221	4353244	He remains a good Fantasy backup when healthy.	He remains a good fantasy backup when healthy.	206777385	1477518550336	1477518550472	NA	65
403221	4353244	He remains a good Fantasy backup when healthy.	He remains a good fantasy backup when healthy.	206777387	1477518550464	1477518550544	NA	73
403221	4353244	He remains a good Fantasy backup when healthy.	He remains a good fantasy backup when healthy.	206777389	1477518550656	1477518550729	NA	78
403221	4353244	He remains a good Fantasy backup when healthy.	He remains a good fantasy backup when healthy.	206777393	1477518551168	1477518551296	NA	83
403221	4353244	He remains a good Fantasy backup when healthy.	He remains a good fantasy backup when healthy.	206777397	1477518551944	1477518552007		8
403221	4353244	He remains a good Fantasy backup when healthy.	He remains a good fantasy backup when healthy.	206777475	1477518552120	1477518552191		8
403221	4353244	He remains a good Fantasy backup when healthy.	He remains a good fantasy backup when healthy.	206777478	1477518552288	1477518552367		8
403221	4353244	He remains a good Fantasy backup when healthy.	He remains a good fantasy backup when healthy.	206777482	1477518552848	1477518552967		8
403221	4353244	He remains a good Fantasy backup when healthy.	He remains a good fantasy backup when healthy.	206777485	1477518553056	1477518553151		8
403221	4353244	He remains a good Fantasy backup when healthy.	He remains a good fantasy backup when healthy.	206777487	1477518553280	1477518553367	NA	69
403221	4353244	He remains a good Fantasy backup when healthy.	He remains a good fantasy backup when healthy.	206777550	1477518553880	1477518553983	NA	77
403221	4353244	He remains a good Fantasy backup when healthy.	He remains a good fantasy backup when healthy.	206777556	1477518554024	1477518554127	NA	65
403221	4353244	He remains a good Fantasy backup when healthy.	He remains a good fantasy backup when healthy.	206777560	1477518554088	1477518554175	NA	73
